,sepal length,sepal width
100,6.3,3.3
101,5.8,2.7
102,7.1,3.0
103,6.3,2.9
104,6.5,3.0
105,7.6,3.0
106,4.9,2.5
107,7.3,2.9
108,6.7,2.5
109,7.2,3.6
110,6.5,3.2
111,6.4,2.7
112,6.8,3.0
113,5.7,2.5
114,5.8,2.8
115,6.4,3.2
116,6.5,3.0
117,7.7,3.8
118,7.7,2.6
119,6.0,2.2
120,6.9,3.2
121,5.6,2.8
122,7.7,2.8
123,6.3,2.7
124,6.7,3.3
125,7.2,3.2
126,6.2,2.8
127,6.1,3.0
128,6.4,2.8
129,7.2,3.0
130,7.4,2.8
131,7.9,3.8
132,6.4,2.8
133,6.3,2.8
134,6.1,2.6
135,7.7,3.0
136,6.3,3.4
137,6.4,3.1
138,6.0,3.0
139,6.9,3.1
140,6.7,3.1
141,6.9,3.1
142,5.8,2.7
143,6.8,3.2
144,6.7,3.3
145,6.7,3.0
146,6.3,2.5
147,6.5,3.0
148,6.2,3.4
149,5.9,3.0
